"dataframe","estimated_mean","estimated_missing"
"Friday 1:00 PM",161.200000226831,0.0909090909090909
"Friday 10:00 AM",142.000000049395,0.0909090909090909
"Friday 11:00 AM",159.700000002156,0.0909090909090909
"Friday 12:00 PM",180.100000982251,0.0909090909090909
"Friday 2:00 PM",225.300000509591,0.0909090909090909
"Friday 3:00 PM",239.500000367094,0.0909090909090909
"Friday 4:00 PM",250.600001339659,0.0909090909090909
"Friday 5:00 AM",5.98490017651572,0.544307670180334
"Friday 5:00 PM",251.700001294167,0.0909090909090909
"Friday 6:00 AM",104.399999999592,0.0909090909090909
"Friday 6:00 PM",167.800000002006,0.0909090909090909
"Friday 7:00 AM",84.2999999978495,0.0909090909090909
"Friday 7:00 PM",165.000000000303,0.0909090909090909
"Friday 8:00 AM",96.3999996912274,0.0909090909090909
"Friday 8:00 PM",55.3999999784481,0.0909090909090909
"Friday 9:00 AM",126.499999995376,0.0909090909090909
"Monday 1:00 PM",174.700000001872,0.0909090909090909
"Monday 10:00 AM",229.500000466011,0.0909090909090909
"Monday 10:00 PM",32.4000002255214,0.0909090909090833
"Monday 11:00 AM",178.50000019953,0.0909090909090909
"Monday 12:00 PM",252.000000256384,0.0909090909090909
"Monday 2:00 PM",197.800000161167,0.0909090909090909
"Monday 3:00 PM",225.20000051064,0.0909090909090909
"Monday 4:00 PM",262.100000900713,0.0909090909090909
"Monday 5:00 AM",6.49017821840702,0.453715075101076
"Monday 5:00 PM",324.500001351671,0.0909090909090909
"Monday 6:00 AM",144.500000049072,0.0909090909090909
"Monday 6:00 PM",288.899999758674,0.0909090909090909
"Monday 7:00 AM",128.099999959268,0.0909090909090909
"Monday 7:00 PM",258.70000000818,0.0909090909090909
"Monday 8:00 AM",150.200000239064,0.0909090909090909
"Monday 8:00 PM",253.400000000009,0.0909090909090909
"Monday 9:00 AM",227.800000000189,0.0909090909090909
"Monday 9:00 PM",167.100000043921,0.0909090909090909
"Saturday 1:00 PM",126.199999209818,0.0909090909090909
"Saturday 10:00 AM",135.900000247574,0.0909090909090909
"Saturday 11:00 AM",139.000000246498,0.0909090909090909
"Saturday 12:00 PM",129.800000050163,0.0909090909090909
"Saturday 2:00 PM",131.50000024833,0.0909090909090909
"Saturday 3:00 PM",150.600000048063,0.0909090909090909
"Saturday 4:00 PM",165.900000220293,0.0909090909090909
"Saturday 5:00 PM",162.400000225231,0.0909090909090909
"Saturday 6:00 PM",129.400000010524,0.0909090909090909
"Saturday 7:00 PM",151.888889060111,0.181818181818182
"Saturday 8:00 AM",16.8888880158853,0.181818174790588
"Saturday 8:00 PM",52.2222224540505,0.181818181818182
"Saturday 9:00 AM",177.44444413974,0.181818181818182
"Sunday 1:00 PM",122.199999394764,0.0909090909090909
"Sunday 10:00 AM",131.800000248308,0.0909090909090909
"Sunday 11:00 AM",119.299999506396,0.0909090909090909
"Sunday 12:00 PM",112.999999998808,0.0909090909090909
"Sunday 2:00 PM",134.600000010452,0.0909090909090909
"Sunday 3:00 PM",140.100000049604,0.0909090909090909
"Sunday 4:00 PM",187.70000090935,0.0909090909090909
"Sunday 5:00 PM",170.400000213382,0.0909090909090909
"Sunday 6:00 PM",155.500000233737,0.0909090909090909
"Sunday 7:00 PM",146.60000004876,0.0909090909090909
"Sunday 8:00 AM",11.5713194840965,0.363630364806747
"Sunday 8:00 PM",139.600001229168,0.0909090909090909
"Sunday 9:00 AM",172.200001051305,0.0909090909090909
"Sunday 9:00 PM",33.4000000087902,0.0909090909090881
"Thursday 1:00 PM",209.300000681591,0.0909090909090909
"Thursday 10:00 AM",218.700000579758,0.0909090909090909
"Thursday 10:00 PM",26.3000000020006,0.0909090909056685
"Thursday 11:00 AM",173.700001038799,0.0909090909090909
"Thursday 12:00 PM",223.500000105743,0.0909090909090909
"Thursday 2:00 PM",183.600000949369,0.0909090909090909
"Thursday 3:00 PM",243.100000333558,0.0909090909090909
"Thursday 4:00 PM",231.500000445634,0.0909090909090909
"Thursday 5:00 AM",6.99357550030482,0.909007396399432
"Thursday 5:00 PM",270.200000643592,0.0909090909090909
"Thursday 6:00 AM",98.6999999196804,0.0909090909090909
"Thursday 6:00 PM",230.400002283923,0.0909090909090909
"Thursday 7:00 AM",98.1999999240097,0.0909090909090909
"Thursday 7:00 PM",197.500000808564,0.0909090909090909
"Thursday 8:00 AM",121.999999878189,0.0909090909090909
"Thursday 8:00 PM",175.800000204333,0.0909090909090909
"Thursday 9:00 AM",221.600000548719,0.0909090909090909
"Thursday 9:00 PM",122.999999971241,0.0909090909090909
"Tuesday 1:00 PM",224.454545454546,NA
"Tuesday 10:00 AM",250.454545454546,NA
"Tuesday 10:00 PM",29.4545454551485,NA
"Tuesday 11:00 AM",179.090909090909,NA
"Tuesday 12:00 PM",229.363636363636,NA
"Tuesday 2:00 PM",190.727272727273,NA
"Tuesday 3:00 PM",251.909090909094,NA
"Tuesday 4:00 PM",238.818181818183,NA
"Tuesday 5:00 AM",5.30689343922638,0.451827789272942
"Tuesday 5:00 PM",303.909090909091,NA
"Tuesday 6:00 AM",122.454545454546,NA
"Tuesday 6:00 PM",247.181818181821,NA
"Tuesday 7:00 AM",129.181818181867,NA
"Tuesday 7:00 PM",225.09090909093,NA
"Tuesday 8:00 AM",144.909090909091,NA
"Tuesday 8:00 PM",212.45454545614,NA
"Tuesday 9:00 AM",221.636363636368,NA
"Tuesday 9:00 PM",140.909090909371,NA
"Wednesday 1:00 PM",154.363636363638,NA
"Wednesday 10:00 AM",213.818181818891,NA
"Wednesday 10:00 PM",31.6000000461699,0.0909090909090739
"Wednesday 11:00 AM",166.272727272738,NA
"Wednesday 12:00 PM",176.999999999999,NA
"Wednesday 2:00 PM",163.727272727286,NA
"Wednesday 3:00 PM",216.80000060023,0.0909090909090909
"Wednesday 4:00 PM",258.500000033842,0.0909090909090909
"Wednesday 5:00 AM",0.181830313873644,6.58691098585321e-05
"Wednesday 5:00 PM",313.400001031195,0.0909090909090909
"Wednesday 6:00 AM",130.545454546534,NA
"Wednesday 6:00 PM",257.20000000002,0.0909090909090909
"Wednesday 7:00 AM",127.454545455079,NA
"Wednesday 7:00 PM",222.200000542334,0.0909090909090909
"Wednesday 8:00 AM",137.363636366421,NA
"Wednesday 8:00 PM",217.200000595913,0.0909090909090909
"Wednesday 9:00 AM",183.181818185459,NA
"Wednesday 9:00 PM",171.400000211766,0.0909090909090909
